suhu,kelembaban,kelembaban_tanah,intensitas_cahaya,label
88.59,69.4,68.12,63.39,0
70.81,26.57,3.45,84.35,1
26.97,83.36,61.24,92.77,0
54.82,85.5,12.26,53.58,1
91.44,64.71,87.46,99.81,0
27.96,14.11,23.58,5.81,1
8.1,78.97,63.16,33.57,0
87.64,30.47,70.32,90.1,1
27.3,49.23,67.49,55.12,0
31.13,89.19,14.07,38.99,1
9.35,90.82,72.38,30.53,0
39.8,34.34,4.24,62.16,1
82.17,51.29,64.31,57.73,0
2.88,44.12,19.09,58.44,1
62.87,26.04,54.19,22.88,0
43.27,68.05,6.45,4.98,1
9.81,2.71,57.78,40.93,0
80.8,11.3,9.22,52.94,1
23.81,53.46,98.04,12.37,0
19.27,27.78,11.49,30.55,1
58.2,44.55,98.34,68.91,0
82.61,60.93,29.76,46.57,1
83,88.48,76.62,21.29,0
75.74,61.63,15.11,0.73,1
24.67,10.59,90.97,58.74,0
97.04,65.79,26.43,45.65,1
42.43,78.61,61.63,43.88,0
41.29,50.04,96.66,90.08,1
48.03,21.75,73.4,13.55,0
93.41,98.04,15.59,26.94,1
7.94,53.56,56.74,13.71,0
91.45,56.33,13.99,56.95,1
86.82,54.05,90.51,89.39,0
67.82,43.87,6.02,84.01,1
24.92,64.61,85.56,28.24,0
79.77,38.6,2.85,61.12,1
93.67,25.79,65.58,39.45,0
55.77,47.19,0.8,88.03,1
97.04,64.54,83.04,74.4,0
69.7,51.18,25.42,1.38,1
80.24,59.58,59.87,98.98,0
49.23,26.72,6.9,74.82,1
60.28,84.78,55.15,37.62,0
41.53,28.82,42.96,92.13,1
32.44,80.69,60.77,85.02,0
99.32,13.78,15.94,35.82,1
60.4,61.66,70.07,78.56,0
48.98,30.15,69.23,86.93,1
53.48,59.69,88.84,66.27,0
52.77,91.54,21.64,52.95,1
65.63,59.82,94.01,67.92,0
94.58,33.08,25.07,78.55,1
98.88,62.41,57.72,84.44,0
71.91,41.61,25.09,47.94,1
80.23,78.91,56.43,86.82,0
43.34,95.95,17.83,88.86,1
25.93,93.59,96.52,14.29,0
64.82,66.55,22.41,99.52,1
21.76,31.96,53.73,77.33,0
8.88,14.75,16.91,27.11,1
16.63,96.71,60.06,47.86,0
50.59,37.87,0.36,65.1,1
66.05,29.93,45.33,41.61,0
80.33,15.67,10.5,47.19,1
83.46,52.62,78.61,21.5,0
29.13,57.17,5.47,58.38,1
50.93,69.18,60.72,70.14,0
46.26,24.43,36.27,82.61,1
93.47,0.89,53.77,62.8,0
66.78,82.13,22.05,43.32,1
74.45,97.03,56.4,27.48,0
62.07,29.89,20.34,73.66,1
20.83,14.67,65.3,20.23,0
54.06,92.4,27.6,39.85,1
54.58,63.17,90.22,0.08,0
2.49,43.48,22.53,71.73,1
27.65,89.1,62.82,7.17,0
98.55,93.1,10.63,17.61,1
14.62,14.96,62.88,78.85,0
91.9,8.06,18.11,99.84,1
39.57,75.34,92.72,2.04,0
22.66,63.62,8.6,21.97,1
73.77,39.97,41.2,13.42,0
69.26,25.28,44.94,71.39,1
39.53,83.5,55.81,22.32,0
69.15,50.03,14.96,9.98,1
43.82,81.18,67.34,46.73,0
55.34,18.8,1.19,45.5,1
19.1,72.5,73.14,24.73,0
95.75,30.25,74.76,97.85,1
64.9,31.8,93.81,16.58,0
58.13,55.93,7.07,36.65,1
29.86,25.52,98.5,36.51,0
73.6,39.44,24.59,99.53,1
98.15,87.34,73.63,79.55,0
57.5,6.88,12.5,14.55,1
83.79,11.08,51.57,41.76,0
93.67,18.31,2.07,35.76,1
32.42,62.74,56.03,22.11,0
52.48,17.1,71.45,77.06,1
0.2,28.94,53.43,52.62,0
3.55,99.94,5.33,61.07,1
80.72,60.61,70.84,0.6,0
69.27,26.13,56.07,77.4,1
32.32,47.52,75.18,55.8,0
80.29,92.05,9.71,32.12,1
58.91,42.82,66.01,38.61,0
93.75,42.92,8.25,39.31,1
0.06,82.24,35.28,41.22,0
97.82,7.04,38.24,83.17,1
21.61,69.26,62.02,73.46,0
89.55,64.4,16.1,4.58,1
93.82,62.99,46.25,58.96,0
58.37,84.42,2.41,35.27,1
67.74,79.99,67.97,69.34,0
90.44,15.19,46.79,85.55,1
48.44,15.09,94.27,32.4,0
55.99,23.06,54.95,92.23,1
97.91,50.98,51.88,15.13,0
60.25,58.55,6.51,64.83,1
27.97,13.07,52.62,79.41,0
93.16,21.27,62.52,98.29,1
75,77.86,39.63,89.27,0
87.37,19.91,99.16,84.38,1
41.63,58.08,53.68,78.25,0
89.19,13.74,78.3,82.19,1
75.35,55.12,31.73,80.75,0
52.87,30.94,30.88,88.2,1
67.27,1.79,60.36,24.28,0
76.09,72.26,2.53,76.52,1
57.26,69.51,89.61,16.62,0
63.97,31.94,29.31,69.44,1
96.39,24.29,99.52,47.53,0
70.68,21.41,72.55,97.82,1
12.86,22.47,44.2,21.07,0
30.35,26.41,60.11,89.14,1
79.58,42.91,64.97,22.36,0
57.52,94.05,11.09,97.36,1
6.19,47.31,55.74,41.23,0
79.78,15.64,11.77,32.47,1
70.28,63.04,32.93,94.01,0
72.77,64.95,28.89,17.77,1
71.95,20.11,81.53,56.89,0
64.5,49.14,69.14,72.42,1
83.59,54.44,80.91,46.04,0
58.44,21.62,13.38,88,1
49.47,0.56,59.96,33.35,0
12.57,56.48,19.65,41.97,1
1.54,90.42,36.88,63.15,0
92.45,44.1,15.8,86.78,1
41.18,90.24,34.65,58.79,0
46.19,49.51,68.4,98.51,1
2.21,96.75,47.48,86.65,0
66.35,37.24,68.96,83.69,1
89.08,19.66,85.4,51.21,0
5.64,59.37,27.63,61.39,1
37.92,35.45,41.35,28.61,0
52.11,84.96,12.27,91.5,1
58.86,69.89,84.63,67.05,0
54.08,17.11,16.46,94.79,1
66.87,39.86,34.46,33.74,0
87.16,79.42,16.77,80.02,1
43.38,93.43,66.58,59.01,0
86.48,1.54,26.31,32.27,1
36.77,83.07,30.73,42.22,0
63.1,24.58,18.43,54.86,1
23.43,39.12,56.2,47.61,0
45.35,52.63,23.86,94.55,1
11.39,91.1,55.16,80.59,0
50.37,27.82,19.82,27.3,1
11.09,96.71,64.18,10.19,0
49.53,46.81,47.32,80.07,1
43.25,75.71,74.14,60.92,0
85.83,31.59,60.48,76.48,1
17.6,35.52,87.68,19.99,0
98.91,68.78,21.22,78.09,1
89.81,51.13,96.33,85.28,0
30.4,42.19,45.29,86.94,1
25.96,88.12,69.96,38.89,0
92.22,2.88,50.99,79.65,1
23.93,14,86.64,2.9,0
82.05,39.59,26.25,43.16,1
97.84,84.62,43.97,2.58,0
52.99,42.08,85.95,95.36,1
4.64,10.72,47.51,33.38,0
96.23,27.51,72.74,70.32,1
1.45,94.8,35.64,81.22,0
35.74,5.89,2.21,53.44,1
97.33,9.77,67.61,38.83,0
95.72,65.42,27.84,83.18,1
23.04,77.92,52.58,78.59,0
16.39,31.79,6.89,97.56,1
92.44,28.87,34.15,24.88,0
41.75,49.91,67.64,99.3,1
76.87,93.28,72.94,8.92,0
91.4,71.44,20.3,82.48,1
-0.01,12.55,42.77,38.1,0
59.84,30.52,97.82,87.74,1
68.59,12.13,39.15,11.82,0
39.39,23.01,43.46,78.99,1
55.86,55.48,37.46,7.23,0
83.67,87.07,9.24,94.83,1
12.25,87.08,36.14,94.15,0
2.6,82.49,24.33,58.92,1
92.39,79.51,82.65,89.76,0
70.47,42.48,90.13,78.8,1
31.08,24.77,34.18,37,0
61.4,32.04,25.04,0.77,1
56.07,34.02,68.6,25.08,0
61,17.11,67.02,77,1
41.04,60.91,89.14,70.25,0
46.26,23.67,70.04,75.44,1
69.52,59.89,64.7,33.73,0
91.08,94.51,27.68,94.87,1
64.95,15.33,36.16,60.2,0
29.36,19.51,11.49,34.21,1
65.55,41.37,68.36,53.47,0
49.73,55.8,14.13,37.74,1
99.26,21.27,51.08,5.09,0
66.97,37.94,37.2,77.72,1
46.61,51.35,76.32,44.24,0
94.4,0.26,45.92,82.02,1
46.54,98.62,69.25,21.57,0
50.59,84.51,9.83,49.21,1
37.38,8.84,78.31,45.45,0
69.55,26.95,26.35,78.82,1
41.2,16.22,96.07,51.63,0
35.72,10.82,22.21,85.45,1
83.59,17.6,97.13,48.62,0
73.23,13.51,11.2,38.14,1
22.88,88.08,61.74,36.13,0
4.01,79.64,3.76,83.56,1
52.13,55.31,43.21,85.42,0
30.37,62.39,3.52,85.1,1
70.64,98.34,32.02,21.45,0
15.77,96.67,25.27,93.92,1
48.94,30.17,35.63,35.42,0
42.46,12.78,29.58,19.36,1
54.28,72.92,89.02,26.27,0
91.88,38.97,20.52,94.2,1
28.1,70.19,42.11,22.35,0
87.57,64.3,6.37,34.51,1
28.6,21.7,79.87,70.9,0
97.36,0.35,68.62,93.32,1
54.01,85.95,50.47,16.27,0
4.67,93.99,19.43,5.81,1
95.79,53.13,98.55,48.09,0
83.77,45.09,14.24,44.8,1
15.78,54.89,72.89,65.44,0
62.92,16.99,30.58,86.64,1
41.1,91.68,83.51,44.35,0
54.92,57.53,11.45,77.4,1
91.6,72.09,86.03,65.65,0
77.29,17.51,95.02,93.17,1
39.51,5.22,40.39,64.55,0
60.38,30.92,12.79,86.16,1
71,62,95.53,55.72,0
2.36,79.94,13.4,48.56,1
8.24,9.38,78.52,19.15,0
85.11,19.77,4.49,57.64,1
64.48,44.58,43.11,33.11,0
45.02,30.5,8.36,98.3,1
70.81,88.3,86.14,63.34,0
45.88,60.08,12.37,7.51,1
28.87,66.71,36.52,14.62,0
57.7,51.9,7.83,80.95,1
74.3,34.61,96.04,33.4,0
39.03,73.33,21.2,80.24,1
8.28,60.26,68.4,9.83,0
24.98,98.39,20.76,15.66,1
1.75,76.8,97.22,13.08,0
95.43,39.4,70.41,73.91,1
27.11,1.81,68.13,62.44,0
68.44,20.68,86.33,87.24,1
80.86,50.77,89.38,35.15,0
58.29,32.81,98.3,92.74,1
35.15,55.46,73.91,75.16,0
58.1,59.78,21.92,98.44,1
81.64,25.7,68.23,69.74,0
64.74,68.34,4.51,66.74,1
75.59,87.6,31.36,0.52,0
46.14,18.48,73.07,88.51,1
98.83,37.72,98.9,46.55,0
23.4,65.09,0.75,47.22,1
17.01,75.79,31.76,84.81,0
71,67.59,17.42,8.86,1
6.74,29.19,60.7,30.92,0
91,43.36,73.26,86.3,1
81.71,30.87,80.51,7.49,0
86.22,16.15,39.92,74.03,1
50.82,82.98,41.29,21.88,0
46.01,40.14,49.03,86.45,1
58,76.94,79.07,47.4,0
99.67,78.52,22.75,5.94,1
65.67,81.16,86.88,34.45,0
53.16,83.6,6.17,47.7,1
75.28,56.62,33.81,12.99,0
96.83,92.28,10.59,71.69,1
76.95,34.34,62.21,13.63,0
70.03,66.41,19.7,81.66,1
99.51,66.28,64.16,80.81,0
39.21,15.04,26.52,20.35,1
53.77,92.07,35.52,99.51,0
21.31,87.44,27.49,24.97,1
11.96,69.21,94.78,62.69,0
57,49.44,41.51,83.14,1
91.3,7,65.58,32.89,0
31.91,23.38,64.65,87.78,1
56.7,56.67,36.21,1.33,0
71.79,32.89,40.22,95.89,1
36.15,57.57,91.42,11.88,0
62.37,18.88,18.36,77.69,1
68.14,76.87,45.43,53.7,0
16.15,5.23,4.28,29.21,1
46.24,31.27,90.47,36.47,0
93.86,37.47,80.25,76.81,1
23.07,23.89,59.49,48.47,0
96.62,40.79,0.76,23.7,1
97.17,36.09,62.55,40.54,0
63.58,37.17,11.07,25.04,1
39.74,34.62,95.09,32.02,0
45.68,85.37,18.32,93.82,1
41.76,65.29,46.43,64.25,0
81.35,88.37,18.06,57.9,1
1.96,89.98,97.8,4.02,0
27.93,98.7,25.13,69.61,1
87.62,69.13,46.54,64.74,0
56.49,54.22,29.21,42.34,1
63.56,43.24,51.18,3.96,0
83.53,16.39,38.8,95.59,1
16.55,23.51,35.86,93.81,0
29.65,68.76,6.53,81.83,1
11.81,14.06,88.33,89.21,0
82.43,93.07,22.88,53.39,1
93.82,54.01,78.4,93.01,0
4.51,76,22.32,43.86,1
61.87,51.4,47.63,61.49,0
23.1,18.3,8.59,68.47,1
90.66,10.08,93.07,24.93,0
28.87,79.27,5.61,23.1,1
85.79,85.34,82.72,41.18,0
77.37,9.01,8.86,8.78,1
77.69,25.51,62.92,53.58,0
76.54,91.13,27.78,4.05,1
28.51,65.66,64.81,84.59,0
11.55,48.41,19.79,56.56,1
69.87,60.67,84.38,81.49,0
62.85,87.75,27.01,11.77,1
24.27,57.14,99.68,52.56,0
99.97,5.42,15.51,5.64,1
18.35,73.93,40.14,24.38,0
24.2,14.83,6.19,45.4,1
56,40.09,88.1,66.82,0
82.22,42.33,7.14,76.92,1
44.63,71.44,45.34,49.06,0
41.17,44.67,79.25,80.53,1
39.11,69.8,76.21,44.23,0
61.82,48.79,13.19,41.46,1
38.15,95.36,80.79,67.05,0
26.59,36.16,13.35,12.56,1
71.03,46.09,34.67,63.18,0
16.92,10.71,23.85,0.8,1
8.65,91.63,73,13.77,0
46.21,24.15,7.82,73.62,1
66.18,75.48,79.42,45.52,0
24.97,33.56,14.8,47.95,1
99.45,30.57,54.81,58.23,0
84.1,8.11,20.74,59.57,1
74.77,76.03,60.42,83.86,0
3.46,68.8,9.44,62.64,1
33.52,40.6,75.22,46.63,0
43.83,10.21,44.15,83.11,1
15.04,65.06,60.46,28.09,0
29.67,32.67,19.79,92.26,1
81.07,64.13,81.99,7.4,0
84.6,22.09,6.41,46.87,1
65.59,53.31,84.67,57.2,0
88.85,57.44,1.38,80.15,1
87.19,50,50.67,55.07,0
76.7,80.68,20.97,34.47,1
77.44,96.34,55.09,53.11,0
77.16,3.23,1.85,40.55,1
60.13,65.42,50.33,77.32,0
11.08,88.85,18.34,86.3,1
55.18,95.46,76.59,31.71,0
93.44,18.83,29.77,36.22,1
27.04,93.49,85.5,42.31,0
56.02,84.32,27.65,38.81,1
54.6,57.15,54.39,30.7,0
66.73,19.87,97.02,81.54,1
80.55,81.69,63.58,21.34,0
83.38,17.54,74.01,82.24,1
76.55,83.23,43.1,70.37,0
86.42,96.99,5.14,43.74,1
11.35,75.92,45.17,34.76,0
35.35,16.44,71.44,98.85,1
43.35,15.21,91.13,51.89,0
54.91,19.18,92.48,83.13,1
44.31,58.29,92.24,18.96,0
30.74,75.63,22.69,32.88,1
55.76,81.32,61.67,10.99,0
47.73,67.25,15.59,77.73,1
61.2,88.06,82.18,93.01,0
22.58,75.88,13.69,76.88,1
87.18,49.56,79.93,13.31,0
38.64,59.27,27.03,75.98,1
31.84,17.25,53.31,59.82,0
76.95,24.76,52.63,89.04,1
36.73,89.9,42.88,14.12,0
44.23,33.23,16.59,72.74,1
32.54,79.41,52.83,37.27,0
31.9,9.85,24.85,0.39,1
91.47,99.41,45.24,17.26,0
68.77,29.91,4.39,86.9,1
38.86,19.68,35.5,13.87,0
92.46,48.23,16.21,67.13,1
97.3,12.75,49.63,19.36,0
83.42,68.22,9.19,41.73,1
15.71,27.83,97.3,55.92,0
74.09,23.92,32.62,93.87,1
3.4,10.05,64.53,80.43,0
1.61,27.82,29.67,88.29,1
25.38,65.1,81.24,74.24,0
18.67,67.15,3.3,67.79,1
17.02,57.69,57.3,47.62,0
31.34,39.89,19.1,20,1
63.71,70.41,32.21,23.02,0
13.19,54.1,1.64,9.97,1
28.73,69.15,90.04,28.46,0
17.96,46.27,20.87,49.44,1
68.82,54.43,72.57,15.07,0
56.1,90.55,8.6,12.39,1
80.52,46.93,88.98,5,0
89.19,40.99,43.17,79.54,1
59.45,75.77,92.16,76.84,0
49.96,46.14,68.57,71.68,1
74.8,41.84,38.07,10.39,0
85.05,49.31,14.41,96.23,1
41.82,72.1,66.37,4.47,0
19.38,75.86,29.79,71.47,1
13.76,43.22,50.77,11.39,0
88.26,35.46,43.78,93.73,1
21.08,63.85,43.57,91.21,0
52.65,23.72,89.25,86.77,1
38.83,84.76,77.2,89.17,0
6.35,1.34,5.74,81.46,1
9.47,15.59,94.43,72.49,0
15.93,68.81,7.92,87.3,1
16.78,55.34,32.14,23.22,0
66.77,92.79,8.56,39.77,1
54.65,31.64,73.15,32.91,0
0.66,46.82,5.29,29.06,1
23.46,27.34,43.38,80.91,0
29.19,34.46,0.53,41.94,1
26.71,58.24,39.81,42.84,0
60.46,2.63,49.79,86.06,1
15.72,59.18,49.7,20.59,0
47.37,3.36,39.28,84.42,1
87.66,85.31,35.44,65.03,0
2.08,75.81,2.12,11.62,1
57.28,65.08,48.76,18.05,0
31.43,16.51,6.84,81.92,1
41.94,31.79,68.87,58.19,0
85.61,42.48,2.92,45.77,1
92.13,58.96,43.95,58.06,0
53.03,14.72,2.44,13.76,1
52.43,60.23,99.86,82.38,0
5.68,97,11.08,4.24,1
53.04,76.03,73.89,30.17,0
66.16,10.06,73.52,76.37,1
50.68,72.14,37.36,33.29,0
64.43,37.27,43.44,97.28,1
31.52,80.26,70.49,39.23,0
27.34,21.06,8.76,84.1,1
43.03,32.26,50.18,51.71,0
75.77,14.31,26.69,79.95,1
84.42,65.36,78.5,34.95,0
49.46,13.13,85.33,77.2,1
56.82,59.19,77.77,22.93,0
76.23,97.14,14.96,42.7,1
14,63.62,74.66,58.89,0
35.24,16.96,20.3,64.5,1
70.23,63.88,63.44,34.79,0
48.39,34.99,25.1,29.83,1
1.38,48.15,96.3,73.81,0
50.35,81.13,19.5,57.92,1
74.92,82.48,63.2,18.86,0
19.94,11.17,5.07,91.75,1
93.85,32.7,60.84,13.13,0
20.84,78.08,28.21,73.33,1
93.88,10.31,74.28,9.78,0
55.34,33.62,18.07,9.04,1
54.27,5.15,91.15,42.48,0
47.13,22.31,51.27,92.17,1
83.43,94.67,66.4,52.18,0
63.7,25.85,63.28,94.2,1
88.46,96.92,66.77,94.3,0
32.35,58.46,20.88,80.75,1
48.57,45.39,34.24,20.83,0
63.93,19.58,10.94,46.25,1
13.5,25.62,93.08,57.31,0
66.01,92.99,7.54,10.54,1
96.76,53.5,36.58,95.6,0
73.1,34.63,13.42,3.13,1
68.53,57.24,81.56,57.39,0
82.37,6.72,89.37,89.52,1
45.45,83.25,42.77,70.35,0
24.73,67.1,2.42,79.7,1
36.68,24.81,68.42,31.18,0
40.83,17.83,5.6,19.3,1
22.82,45.3,45.14,64.8,0
53.9,81.34,1.62,88.04,1
32.57,38.19,64.28,48.38,0
34.83,26.71,41.13,78.34,1
24.66,4.18,85.67,61.21,0
59.29,39.79,9.55,71.27,1
92.5,34.29,70.14,25.99,0
12.13,37.78,10.31,0.28,1
62.77,86.63,70.93,75.68,0
62.69,5.96,8.68,26.64,1
43.45,46.24,57.71,1.62,0
13.73,91.78,9.25,45.28,1
67.69,97.82,68.32,24.51,0
14.25,5.16,25.36,73.72,1
61.87,86.97,43.57,86.84,0
65.83,7.74,9.54,88.84,1
46.26,44.8,85.93,13.83,0
5.9,17.5,22.39,94.13,1
36.36,43.58,90.11,65.23,0
2.31,90.73,18.87,96.8,1
44.16,82.52,49.4,83.27,0
66.87,4.16,98.58,81.17,1
88.79,83.48,90.18,37.71,0
84.51,55.21,12.41,37.49,1
94.69,56.68,84.7,93.63,0
40.15,67.35,20.17,94.32,1
20.93,70.26,46.12,59.11,0
33.88,59.61,20.74,97.26,1
16.32,28.53,33.5,82.74,0
53.46,41.79,17.82,86.51,1
63.24,84.72,77.05,0.51,0
6.14,22.4,15.6,10.03,1
63.66,3.06,78.03,25.96,0
61.34,59.12,14.37,5.23,1
9.52,7.15,58.39,3.34,0
96.23,19.95,28.12,84.2,1
32.74,0.2,38.26,36.28,0
91.51,15.56,93.13,93.85,1
21.42,88.96,93.67,62.85,0
73.09,27.65,83.35,96.12,1
46.43,72.42,93.12,75.55,0
5.5,58.71,3.3,12.36,1
65.72,33.27,96.2,49.46,0
79.69,81.31,27.37,27.14,1
91.94,96.69,87.67,36.42,0
58.91,9.36,24.94,32.41,1
39.94,85.74,68.23,21.09,0
98.5,68.7,11.39,27.35,1
90.28,35.78,90.31,62.55,0
37.11,12.93,19.78,88.23,1
52.82,89.28,60.81,91.14,0
10.95,77.8,18.78,44.67,1
5.16,88.38,33.27,42.68,0
89.68,72.24,6.63,91.72,1
39.8,94.36,39.22,68.47,0
96.24,45.27,26.99,76.17,1
36.78,49.51,58.53,2.31,0
98.28,6.52,25.51,92.85,1
5.23,79.25,81.29,25.32,0
77.74,53.96,8.76,42.33,1
46.24,77.34,70.39,28.9,0
32.2,63.17,22.22,13.8,1
32.56,71.56,63.04,55.99,0
79.57,36.18,15.08,43.07,1
58.51,2.06,95.37,40.16,0
20.75,67.9,6.68,55.27,1
55.39,40.18,68.45,67.33,0
91.42,21.34,75.15,86.69,1
26.33,86.78,44.04,23.6,0
93.06,36.55,52.69,88.77,1
97.99,81.35,44.24,35.67,0
58.6,76.92,28.71,39.64,1
73.39,32.97,42.47,8.97,0
77.79,23.14,56.52,99.46,1
82.28,55.82,84.8,81.2,0
78.44,39.26,25.66,94.35,1
35.43,89.36,93.37,2.95,0
62.38,53.73,20.22,86.35,1
39.84,78.91,90.19,44.89,0
36.57,39.89,2.79,24.41,1
77.2,12.02,74.21,53.82,0
66.92,7.18,38.89,98.11,1
58.6,1.36,48.05,33.87,0
47.09,48.7,8.19,77.97,1
4.03,30.34,90.37,48.46,0
40.81,27.23,69.68,77.19,1
97.17,75.03,60.62,83.15,0
50.2,23.87,38.17,76.81,1
43.92,77.1,35.37,68.04,0
86.01,21.93,25.91,64.97,1
98.06,59.58,57.14,54.2,0
6.17,35.33,20.64,32,1
42.57,58.32,54.79,94.37,0
90.76,85.98,2.29,7.73,1
16.59,36.42,60.11,24.55,0
88.77,1.47,21.11,92.24,1
79.42,86.5,51.11,19.57,0
60.32,35.51,7.21,31.2,1
50.45,33.6,48.22,15.1,0
54.99,47.71,52.59,96.59,1
9.71,65.71,61.01,30.25,0
70.73,35.03,88.1,71.64,1
82.99,43.7,45.78,35.56,0
89.66,26.05,82.5,97.15,1
87.73,88.36,94.37,67.27,0
25.73,87.8,18.29,20,1
69.72,8.88,68.71,61.54,0
19.94,49.38,18.39,4.05,1
